Res0sem_21D,Res0sem_18D,Res0sem_13C,Res0sem_09A,Res0sem_11B,Res0sem_03C,Res0sem_17C,Res0sem_03A,Res0sem_17B,Res0sem_07C,Res0sem_10B,Res0sem_13B,Res0sem_20C,Res0sem_11D,Res0sem_12C,Res0sem_20A,Res0sem_09B,Res0sem_06A,Res0sem_10C,Res0sem_16B,Res0sem_19A,Res0sem_12D,Res0sem_09C,Res0sem_10A,Res0sem_18A,Res0sem_12B,Res0sem_08A,Res0sem_04D,Res0sem_15B,Res0sem_01A,Res0sem_16C,Res0sem_21A,Res0sem_18C,Res0sem_04A,Res0sem_19B,Res0sem_19C,Res0sem_07A,Res0sem_12A,Res0sem_01D,Res0sem_07B,Res0sem_18B,Res0sem_09D,Res0sem_15C,Res0sem_21C,Res0sem_05D,Res0sem_05B,Res0sem_01C,Res0sem_14C,Res0sem_05C,Res0sem_02B,Res0sem_20D,Res0sem_08D,Res0sem_03D,Res0sem_02C,Res0sem_08B,Res0sem_01B,Res0sem_06D,Res0sem_19D,Res0sem_16D,Res0sem_20B,Res0sem_15D,Res0sem_04B,Res0sem_02A,Res0sem_06C,Res0sem_13A,Res0sem_11C,Res0sem_06B,Res0sem_03B,Res0sem_14B,Res0sem_14D,Res0sem_17A,Res0sem_08C,Res0sem_16A,Res0sem_13D,Res0sem_04C,Res0sem_02D,Res0sem_21B,Res0sem_07D,Res0sem_11A,Res0sem_15A,Res0sem_17D
0,1,0,14,0,2,1,2,2,1,182,0,0,0,0,40,80,0,2,5,0,1,110,698,1,3,0,0,4,0,1,0,0,0,2,1,0,0,0,0,0,0,704,0,19,2,0,0,0,0,1,0,4,0,1,0,0,1,0,183,9,0,1,0,1,1,3,0,2,263,0,0,11,0,0,0,0,0,0,95,0
5,222,8,2,15,13,227,13,143,2,6,60,17,24,63,4,12,4,5,7,2,2762,0,13,2009,100,8,6,104,5,14,0,1115,8,3,1,3,46,11,3,310,11,26,11,7,4,2,270,2,4,7,20,2,15,12,22,2,4,8,50,58,4,37,2,11,4,2,6,163,625,19,7,121,306,3,9,1,8,95,5,236
175,302,59,218,98,462,329,593,276,187,89,80,45,360,246,38,178,112,187,767,96,384,72,173,152,72,125,67,280,610,408,20,102,70,92,64,481,35,248,295,59,278,166,30,213,379,72,369,56,169,55,691,518,413,197,3809,352,61,1312,59,152,47,969,108,67,175,93,323,749,2776,252,501,318,101,55,1157,22,426,202,211,1028
88,109,92,1110,406,756,1068,593,728,1724,217,170,162,92,126,139,1068,168,912,779,178,489,305,290,147,96,559,114,1177,224,1141,12,273,137,218,144,3473,276,157,1300,268,219,241,16,257,495,126,2480,116,232,179,490,117,691,411,498,100,117,709,124,746,128,563,162,160,157,117,622,2219,3385,203,1264,1070,97,213,384,16,1953,404,716,161
74,441,21,33,1416,285,18,629,48,12,13,3,9,950,35,6,17,1034,11,2430,90,133,8,13,16,26,12,72,20,13,765,7,17,27,56,230,11,101,8,29,17,9,11,34,41,67,11,7,22,23,8,83,53,202,15,10,709,36,2507,8,12,37,29,847,43,795,746,411,4,6,592,52,134,5,51,365,34,21,1001,9,4
0,0,1,0,1,36,44,0,1,8,1,0,32,0,0,26,0,4,22,1,9,3,0,4,0,1,2,0,69,3,0,0,3,20,0,17,0,3,0,12,0,0,256,373,0,47,1,34,1,1,0,11,0,0,1,2,0,0,180,187,2,24,10,0,0,2,1,5,0,106,16,0,0,0,0,0,0,373,0,0,0
35,4,77,11,10,4,57,3,16,17,87,6,7,18,7,6,27,12,120,27,21,62,8,11,12,49,10,5,4,4,14,1,8,15,12,11,11,4,12,12,45,48,4,0,133,46,5,30,4,3,5,4,41,10,9,5,28,23,9,19,7,5,5,8,5,3,10,23,2,223,30,4,51,9,6,4,2,86,3,23,61
0,0,1,0,1,18,1,1,11,2,0,0,0,7,5,0,5,1,0,17,0,0,3,1,0,2,0,0,2,3,0,21,1,0,5,7,2,1,59,0,1,2,164,1,8,1,2,5,8,1,0,0,0,1,0,16,10,7,1,0,262,0,14,2,1,8,2,5,3,0,0,1,1,5,1,0,0,2,0,7,1
0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,36,0,0,0,3,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0
3266,61,0,8,2283,14,0,4,1,3,2,0,5,1682,5,1,2,0,243,0,443,0,0,156,0,0,0,0,1,2,0,2721,2,1,62,15,0,11,27,1,83,6,73,699,3,3,1,0,1,0,0,0,3,76,0,1,0,7,1,2,10,0,0,0,0,584,6,6,0,0,2,1,0,5,0,0,291,6,13,16,3
