"CODE","Region","Production mode","Year","Treatment","Treatment_Group","Rendement","Proteine","TGW.g.","Nombre.Plants.avg"
"BF08","La Cote","Conventional without fungicide ","2022","Conventionnel","Synthetic",71,12.7,44.32,51.75
"BT04","Nord","Conventional without fungicide ","2023","Temoin non traite","Control",71,12.6,42.49,43
"BT06","La Cote","Conventional without fungicide ","2022","Conventionnel","Synthetic",71,12,46.26,34
"BT06","La Cote","Conventional without fungicide ","2022","Thermoseed","ThermoSeed",71,12.5,43.74,37.75
"BT18","Broye","Organic","2022","Evonta","E-beam",71.02,10.7,34.46,45.25
"BT02","Broye","Conventional without fungicide ","2022","Conventionnel","Synthetic",71.19,11.6,37.63,48.25
"BT12","Chablais","Organic","2022","Temoin non traite","Control",71.78,12.3,41.63,59.75
"BT07","Chablais","Conventional with fungicide ","2022","Conventionnel","Synthetic",71.8,12.2,38.76,34.75
"BF04","Nord","Conventional without fungicide ","2022","Evonta","E-beam",71.93,11.9,43.51,48.5
"BT07","Chablais","Conventional with fungicide ","2022","Thermoseed","ThermoSeed",72,11.7,38.41,37.25
"BT10","Broye","Organic","2023","Evonta","E-beam",72,10.5,48.72,52.5
"BT14","Centre - Pied du Jura","Conventional without fungicide ","2022","Evonta","E-beam",72,12.8,39.62,41.5
"BT10","Broye","Organic","2022","Tillecur","Tillecur",72.3,15.3,37.7,43.75
"BF09","Centre - Pied du Jura","Conventional without fungicide ","2022","Evonta","E-beam",72.7,12.2,44.78,43.75
"BT07","Chablais","Conventional with fungicide ","2022","Evonta","E-beam",72.8,11.7,39.92,33.5
"BF03","Nord","Conventional without fungicide ","2023","Conventionnel","Synthetic",73,10.7,47.59,54
"BT04","Nord","Conventional without fungicide ","2023","Thermoseed","ThermoSeed",73,13.6,42.74,48
"BT18","Broye","Organic","2022","Tillecur","Tillecur",73.06,11.3,43.6,44
"BF03","Nord","Conventional without fungicide ","2023","Tillecur","Tillecur",74,10.7,46.62,50.25
"BT06","La Cote","Conventional without fungicide ","2022","Evonta","E-beam",74,12.1,37.67,NA
"BT06","La Cote","Conventional without fungicide ","2022","Tillecur","Tillecur",74,12.4,44.48,33.25
"BT07","Chablais","Conventional with fungicide ","2022","Temoin non traite","Control",74.2,11.4,39.41,41
"BT18","Broye","Organic","2022","Thermoseed","ThermoSeed",75.02,12,44.8,48
"BT14","Centre - Pied du Jura","Conventional without fungicide ","2022","Compost","Other alternatives",75.3,12.5,43.59,38
"BT07","Chablais","Conventional with fungicide ","2022","Tillecur","Tillecur",75.6,11.6,38.44,41
"BT01","Chablais","Conventional with fungicide ","2022","Tillecur","Tillecur",76,15.3,37.53,44.25
"BT02","Broye","Conventional without fungicide ","2022","Evonta","E-beam",76.42,12.5,39.08,43.5
"BT12","Chablais","Organic","2022","Thermoseed","ThermoSeed",76.96,12.8,43.97,49.5
"BT01","Chablais","Conventional with fungicide ","2022","Evonta","E-beam",77,14.6,35.35,52.5
"BT12","Chablais","Organic","2022","Evonta","E-beam",77.33,12.9,41.96,49.25
"BT10","Broye","Organic","2023","Thermoseed","ThermoSeed",78,10.9,46.16,52
"BT16","Nord","Conventional without fungicide ","2022","Thermoseed","ThermoSeed",78.02,13.3,46.4,49.5
"BT16","Nord","Conventional without fungicide ","2022","Evonta","E-beam",79,13.4,47.4,43
"BT14","Centre - Pied du Jura","Conventional without fungicide ","2023","Thermoseed","ThermoSeed",79.2,12,46.79,38
"BT16","Nord","Conventional without fungicide ","2022","Temoin non traite","Control",80.19,12.9,47.41,47
"BT16","Nord","Conventional without fungicide ","2022","Conventionnel","Synthetic",80.42,13.5,45.38,47.75
"BT16","Nord","Conventional without fungicide ","2022","Tillecur","Tillecur",81,13.3,47.06,38
"BT14","Centre - Pied du Jura","Conventional without fungicide ","2023","Conventionnel","Synthetic",82.9,12.2,47.55,44.25
"BT13","Chablais","Conventional with fungicide ","2023","Thermoseed","ThermoSeed",83.05,13,43.08,46.25
"BT14","Centre - Pied du Jura","Conventional without fungicide ","2023","Temoin non traite","Control",83.9,12.1,47.55,39.25
"BT14","Centre - Pied du Jura","Conventional without fungicide ","2023","Compost","Other alternatives",83.9,12.9,48.08,39.5
"BT13","Chablais","Conventional with fungicide ","2023","Temoin non traite","Control",84.55,13.3,41.96,50
"BT14","Centre - Pied du Jura","Conventional without fungicide ","2023","Evonta","E-beam",84.6,11.9,46.62,39.5
"BT01","Chablais","Conventional with fungicide ","2023","Evonta","E-beam",85,12.6,44.81,43
"BT01","Chablais","Conventional with fungicide ","2023","Thermoseed","ThermoSeed",86,13.1,43.53,44.5
"BT13","Chablais","Conventional with fungicide ","2023","Conventionnel","Synthetic",86.76,11.5,45.08,41.75
"BT01","Chablais","Conventional with fungicide ","2022","Thermoseed","ThermoSeed",87,13.3,35.66,50.5
"BT01","Chablais","Conventional with fungicide ","2023","Conventionnel","Synthetic",90,12.8,44.85,46
"BT13","Chablais","Conventional with fungicide ","2023","Tillecur","Tillecur",90,13.2,45.12,45.25
"BT01","Chablais","Conventional with fungicide ","2023","Temoin non traite","Control",91,12.8,47.09,41.75
"BT01","Chablais","Conventional with fungicide ","2023","Tillecur","Tillecur",94,12.6,45.27,38.25
"BF04","Nord","Conventional without fungicide ","2023","Tillecur","Tillecur",97.91,11.2,48.12,45.25
"BT13","Chablais","Conventional with fungicide ","2023","Evonta","E-beam",98.69,12.2,43.52,47.5
"BT17","Broye","Conventional without fungicide ","2024","Conventionnel","Synthetic",NA,12.3,37.83,109.5
"BF02","Broye","Conventional without fungicide ","2022","Tillecur","Tillecur",NA,13,45.09,55.25
"BF02","Broye","Conventional without fungicide ","2022","Evonta","E-beam",NA,13.1,43.2,56
"BF02","Broye","Conventional without fungicide ","2022","Temoin non traite","Control",NA,13.6,44.15,54.75
"BF02","Broye","Conventional without fungicide ","2022","Thermoseed","ThermoSeed",NA,13.6,43.83,49
"BF02","Broye","Conventional without fungicide ","2022","Conventionnel","Synthetic",NA,13.7,43.98,59.75
